,key_gvkey,key_gvkey_fund,key_tic,month,quarter,year,qyear,date,comnam,permno,hsiccd,ticker,gvkey,prc,prc_change,prc_change_perc,S&P500_index,S&P500_index_change,S&P500_index_change_perc,EA,Intercept3d,Slope3d,Exp. Return1 [-1],Exp. Return1 [0],Exp. Return1 [1],AR1 [-1],AR1 [0],AR1 [1],CAR3d,Intercept4d,Slope4d,Exp. Return2 [-3],Exp. Return2 [-2],Exp. Return2 [-1],Exp. Return2 [0],AR2 [-3],AR2 [-2],AR2 [-1],AR2 [0],CAR4d,UE,fund_at,fund_ceq,fund_dt,fund_gdwl,fund_ni,fund_mkvalt
397,18337722020,#N/A,FTNT43957,5,2,2020,22020,6/5/2020,FORTINET INC,93132,9999,FTNT,183377,111.4599991,23.65999603,0.212273427,114.0126355,1.599364803,0.014027961,6/5/2020,0.001445168,1.012297107,-0.006977674,0.015645632,0.018196734,0.033691026,0.196627796,-0.005467299,0.224851523,0.001252493,1.014114006,0.0042556,0.012091767,-0.007185466,0.015478444,0.008730823,0.015014509,0.033898819,0.203542604,0.261186755,0.08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
398,18337732020,#N/A,FTNT44049,8,3,2020,32020,6/8/2020,FORTINET INC,93132,9999,FTNT,183377,139.5099945,-8.509994507,-0.060999175,135.8308317,0.435473329,0.003205998,6/8/2020,0.001906467,0.960237645,0.003002577,0.004984986,0.004004627,-0.007355992,-0.065984161,-0.035455029,-0.108795183,0.001914122,0.962423117,0.005346722,0.008887657,0.003012727,0.004999649,-0.000933464,0.000404234,-0.007366143,-0.060065711,-0.067961083,0.17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
399,18337742020,18337742020,FTNT44133,10,4,2020,42020,29-10-2020,FORTINET INC,93132,9999,FTNT,183377,118,-7.629997253,-0.064660994,134.6111866,-1.109703904,-0.008243772,29-10-2020,0.001575641,0.977295071,0.008955374,-0.006480957,0.018267969,-0.016941898,-0.058180037,-0.016274731,-0.091396666,0.001601036,0.975811698,-0.007219152,-0.029896177,0.008969568,-0.006443333,0.015743288,-0.012605684,-0.016956092,-0.080404281,-0.09422277,0.1,4044.5,856,53.1,93,488.5,24136.125
400,18825512020,#N/A,FBHS43859,1,1,2020,12020,29-01-2020,FORTUNE BRANDS HOME & SECUR INC,12981,2531,FBHS,188255,67.26000214,3.75,0.055753789,132.3305701,0.063288873,0.000478263,29-01-2020,0.000811986,1.365618505,-0.003258359,0.001465111,-0.022118899,-0.006021317,0.054288678,-0.010270947,0.037996413,0.000902594,1.352116124,-0.020581598,0.013154259,-0.003127506,0.001549262,-0.008910605,-0.006780107,-0.006152171,0.064664394,0.042821512,0.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
401,18825522020,#N/A,FBHS43951,4,2,2020,22020,30-04-2020,FORTUNE BRANDS HOME & SECUR INC,12981,2531,FBHS,188255,48.20000076,3.299999237,0.068464713,116.7961456,-3.378614421,-0.028927448,30-04-2020,8.28E-05,1.31391784,-0.019493878,-0.037925485,0.003973724,-0.045128635,0.106390199,-0.011546528,0.049715036,-5.70E-05,1.312168016,-0.000781565,0.032742082,-0.01960763,-0.038014691,0.061439407,0.004913958,-0.045014883,0.007025306,0.028363788,0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
402,18825532020,#N/A,FBHS44041,7,3,2020,32020,29-07-2020,FORTUNE BRANDS HOME & SECUR INC,12981,2531,FBHS,188255,75.94999695,1.040000916,0.013693232,134.1201263,-0.492442464,-0.003671652,29-07-2020,0.000989815,1.344925562,0.021156006,-0.003948284,0.003627198,0.029473348,0.017641516,-0.009991634,0.03712323,0.000983602,1.341467652,0.012751144,-0.010847582,0.021097944,-0.003941801,0.033164379,-0.015680847,0.02953141,-0.019471148,0.027543795,0.43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
403,18825542020,18825542020,FBHS44132,10,4,2020,42020,28-10-2020,FORTUNE BRANDS HOME & SECUR INC,12981,2531,FBHS,188255,81.41000366,0.469993591,0.005773168,133.602331,1.008855592,0.007551183,28-10-2020,0.000957267,1.33816157,-0.042235862,0.011061969,-0.010074232,0.037346559,-0.005288802,-0.002260826,0.02979693,0.000971009,1.336280276,-0.02557735,-0.01110739,-0.042161396,0.011061505,-0.014085682,0.007817864,0.037272092,0.019858849,0.050863124,0.17,7358.7,2775.5,2751.2,2394.8,553.1,11885.9352
404,1459012020,#N/A,FCX43853,1,1,2020,12020,23-01-2020,FREEPORT MCMORAN INC,81774,1021,FCX,14590,11.97000027,-0.130000114,-0.010860494,134.9767737,-1.318713485,-0.009769929,23-01-2020,-0.000733088,1.748610001,0.004017457,-0.017816884,-0.028517294,-0.032426502,0.00695639,-0.050874642,-0.076344754,-0.001125585,1.702271445,-0.006182749,-0.001040446,0.00349907,-0.017756656,-0.040437253,0.005115364,-0.031908115,0.029576759,-0.037653245,-0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
405,1459022020,#N/A,FCX43945,4,2,2020,22020,24-04-2020,FREEPORT MCMORAN INC,81774,1021,FCX,14590,8.479999542,0.370000839,0.043632177,113.5417812,2.193457948,0.019318509,24-04-2020,-0.000948574,1.562330577,0.019132795,0.029233324,-0.001811254,0.066654607,0.014398853,0.009720823,0.090774283,-0.00134769,1.567529306,0.034259514,-0.00295673,0.0188005,0.028934639,-0.003220375,0.025208049,0.066986901,0.046852552,0.135827127,-0.14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
406,1459032020,#N/A,FCX44035,7,3,2020,32020,23-07-2020,FREEPORT MCMORAN INC,81774,1021,FCX,14590,13.31999969,-0.199999809,-0.015015001,132.9173788,-0.762084477,-0.00573352,23-07-2020,0.000760505,1.624792977,-0.013021024,-0.008555279,0.015013416,-0.009005422,-0.006459722,0.018523211,0.003058066,0.000707373,1.627558408,0.005461581,0.012729384,-0.013097612,-0.008624266,-0.009184603,0.005207819,-0.008928834,-0.005830398,-0.018736016,0.14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
407,1459042020,1459042020,FCX44126,10,4,2020,42020,22-10-2020,FREEPORT MCMORAN INC,81774,1021,FCX,14590,18.35000038,0.010000229,0.000544972,141.2613558,0.880476705,0.006232962,22-10-2020,0.00226873,1.62498503,0.012917526,0.0123972,-0.03001543,0.022635583,-0.011852229,-0.024450799,-0.013667444,0.001972717,1.622523383,0.00865705,-0.001716753,0.012605381,0.012085844,0.018764259,0.00796313,0.022947728,-0.018219288,0.031455829,0.16,42144,10174,9939,0,599,37937.16
